,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
29,,0.0,18,236,3,5,10,3,9.0,891.0,25.0
30,,0.0,13,257,-4,1,11,9,3.0,285.0,4.0
31,,0.0,15,506,-2,5,13,7,38.0,3949.0,37.0
32,,0.0,14,500,-1,2,10,23,40.0,4006.0,40.0
33,,0.0,19,120,3,5,12,48,69.0,6834.0,81.0
34,,0.0,18,713,-5,3,10,3,18.0,1769.0,34.0
35,,0.0,16,183,4,3,13,61,68.0,6782.0,56.0
36,,0.0,16,412,3,2,10,17,32.0,3131.0,35.0
37,,0.0,13,509,-1,3,6,40,59.0,5871.0,54.0
38,,0.0,14,679,-4,2,10,41,74.0,7091.0,61.0
39,,0.0,13,91,0,4,3,56,17.0,1984.0,30.0
40,,0.0,13,342,-2,4,11,61,83.0,8185.0,53.0
41,,0.0,19,467,-1,1,11,11,17.0,1651.0,46.0
42,,0.0,21,332,4,2,11,35,65.0,6326.0,79.0
43,,0.0,14,610,-4,1,11,57,55.0,5491.0,51.0
44,,0.0,15,693,-2,4,7,6,28.0,2721.0,28.0
45,,0.0,19,137,-5,2,12,57,43.0,4557.0,66.0
46,,0.0,14,105,-3,5,5,40,24.0,2491.0,27.0
47,,0.0,21,529,-2,3,7,40,83.0,8282.0,88.0
48,,0.0,21,476,1,4,7,41,89.0,8743.0,86.0
49,,0.0,20,310,-5,4,11,9,35.0,3630.0,46.0
50,,0.0,14,718,-2,3,7,35,76.0,7302.0,58.0
51,,0.0,13,422,2,5,7,27,61.0,6195.0,40.0
52,,0.0,14,595,-3,1,9,61,50.0,5190.0,51.0
53,,0.0,20,739,1,3,9,38,93.0,9258.0,91.0
54,,0.0,13,61,-2,3,5,9,0.0,37.0,2.0
55,,0.0,14,67,-5,3,3,53,7.0,1080.0,15.0
56,,0.0,15,429,3,5,4,24,47.0,4928.0,41.0
57,,0.0,15,133,1,3,13,17,21.0,1915.0,11.0
58,,0.0,16,427,0,3,5,49,64.0,6371.0,56.0
59,,0.0,14,180,5,5,3,32,32.0,3044.0,22.0
60,,0.0,19,450,1,5,9,18,72.0,7245.0,69.0
61,,0.0,13,518,2,3,3,16,24.0,2426.0,22.0
62,,0.0,18,356,-3,2,8,9,14.0,1380.0,22.0
63,,0.0,13,174,5,4,12,46,57.0,5653.0,22.0
64,,0.0,20,371,4,4,3,31,60.0,5807.0,76.0
65,,0.0,20,394,-4,4,10,15,58.0,5893.0,61.0
66,,0.0,13,366,5,3,13,28,53.0,5407.0,21.0
67,,0.0,20,570,4,2,8,2,5.0,537.0,13.0
68,,0.0,17,793,3,4,3,13,38.0,4167.0,40.0
69,,0.0,17,55,-2,3,3,58,7.0,1259.0,15.0
70,,0.0,21,306,1,2,6,60,66.0,6197.0,81.0
71,,0.0,17,450,4,5,12,50,98.0,9639.0,63.0
72,,0.0,13,304,-5,1,3,57,14.0,1601.0,20.0
73,,0.0,19,385,3,2,11,52,78.0,7688.0,79.0
74,,0.0,13,590,-2,3,10,32,72.0,6985.0,29.0
75,,0.0,15,377,-1,1,7,19,12.0,1113.0,10.0
76,,0.0,16,799,5,4,8,52,96.0,9598.0,69.0
77,,0.0,14,528,0,5,5,2,4.0,415.0,2.0
78,,0.0,17,313,1,5,14,8,37.0,3641.0,10.0
79,,0.0,18,101,-2,3,7,33,24.0,2187.0,16.0
80,,0.0,14,542,-5,1,13,55,50.0,5189.0,37.0
81,,0.0,21,796,1,2,13,45,95.0,9475.0,85.0
82,,0.0,15,620,-2,5,5,60,92.0,9024.0,58.0
83,,0.0,20,304,0,5,4,25,55.0,5482.0,57.0
84,,0.0,19,548,-4,3,4,61,84.0,8129.0,82.0
85,,0.0,19,276,-2,4,3,26,36.0,3766.0,55.0
86,,0.0,13,349,4,3,12,35,58.0,5997.0,15.0
87,,0.0,21,49,-2,1,9,56,6.0,889.0,18.0
88,,0.0,13,756,3,3,8,53,86.0,8647.0,47.0
89,,0.0,17,455,-1,3,11,45,85.0,8309.0,50.0
90,,0.0,13,300,-3,5,5,43,55.0,5460.0,14.0
91,,0.0,18,493,0,3,14,48,93.0,9156.0,63.0
92,,0.0,15,447,-5,4,12,25,71.0,6951.0,15.0
93,,0.0,15,15,0,3,14,37,8.0,764.0,0.0
94,,0.0,19,450,1,5,11,55,98.0,9724.0,76.0
95,,0.0,19,140,1,5,4,45,43.0,4612.0,48.0
96,,0.0,21,447,1,3,3,60,78.0,7457.0,74.0
97,,0.0,19,733,-2,1,10,32,54.0,5442.0,71.0
98,,0.0,21,789,5,3,4,17,61.0,5821.0,59.0
99,,0.0,21,647,3,3,12,30,91.0,9060.0,65.0
