,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
22,Ancient Silver Dragon,23.0,22,487,0.1,3,17,18,320.0,32015.0,309.0
23,Ancient White Dragon,20.0,20,333,0.1,3,14,16,312.0,31218.0,305.0
24,Androsphinx,17.0,17,199,0.1,2,12,17,296.0,29602.0,297.0
25,Animated Armor,1.0,18,33,0.11,2,4,5,184.0,18061.0,227.0
26,Ankheg,2.0,14,39,0.11,1,5,13,183.0,18189.0,193.0
27,Ape,0.5,12,19,2.14,2,5,6,133.0,13183.0,137.0
28,Archmage,12.0,12,99,2.14,1,6,4,167.0,16606.0,157.0
29,Assassin,8.0,15,78,3.16,2,6,21,266.0,26665.0,275.0
30,Awakened Shrub,0.0,9,10,-1.8,1,1,1,22.0,2296.0,23.0
31,Awakened Tree,2.0,13,59,-2.6,1,6,14,210.0,20725.0,214.0
32,Axe Beak,0.25,11,19,1.12,1,4,6,90.0,9000.0,91.0
33,Azer,2.0,17,39,1.12,1,5,7,165.0,16587.0,203.0
34,Baboon,0.0,12,3,2.14,1,1,1,16.0,1581.0,15.0
35,Badger,0.0,10,3,0.11,1,2,1,14.0,1471.0,13.0
36,Balor,19.0,19,262,2.15,2,2,1,205.0,20479.0,268.0
37,Bandit,0.125,12,11,1.12,1,3,4,49.0,5163.0,52.0
38,Bandit Captain,2.0,15,65,3.16,3,5,6,226.0,22610.0,235.0
39,Barbed Devil,5.0,15,110,3.17,3,3,4,222.0,22306.0,241.0
40,Basilisk,3.0,12,52,-1.8,1,5,10,176.0,17536.0,180.0
41,Bat,0.0,12,1,2.15,1,0,1,4.0,620.0,6.0
42,Bearded Devil,3.0,13,52,2.15,2,0,1,79.0,7814.0,98.0
43,Behir,11.0,17,168,3.16,2,0,1,150.0,15025.0,206.0
44,Berserker,2.0,13,67,1.12,1,5,9,191.0,19032.0,193.0
45,Black Bear,0.5,11,19,0.1,2,5,9,144.0,14780.0,150.0
46,Black Dragon Wyrmling,2.0,17,33,2.14,1,4,7,152.0,15487.0,186.0
47,Black Pudding,4.0,7,85,-3.5,1,5,6,154.0,15688.0,152.0
48,Blink Dog,0.25,13,22,3.17,1,3,4,80.0,8355.0,92.0
49,Blood Hawk,0.125,12,7,2.14,1,4,4,38.0,4140.0,39.0
50,Blue Dragon Wyrmling,3.0,17,52,0.1,1,5,8,193.0,19018.0,219.0
51,Boar,0.25,11,11,0.11,1,5,8,81.0,8235.0,76.0
52,Bone Devil,12.0,19,142,3.16,3,5,8,274.0,27493.0,297.0
53,Brass Dragon Wyrmling,1.0,16,16,0.1,1,4,7,112.0,11176.0,128.0
54,Bronze Dragon Wyrmling,2.0,17,32,0.1,1,5,8,164.0,16436.0,191.0
55,Brown Bear,1.0,11,34,0.1,2,5,8,177.0,17401.0,166.0
56,Bugbear,1.0,16,27,2.14,1,4,9,149.0,15079.0,175.0
57,Bulette,5.0,17,94,0.11,1,7,30,272.0,26991.0,280.0
58,Camel,0.125,9,15,-1.8,1,5,2,36.0,3754.0,35.0
59,Cat,0.0,12,2,2.15,1,0,1,13.0,1142.0,12.0
60,Cave Bear,2.0,12,42,0.1,2,0,1,62.0,6329.0,79.0
61,Centaur,2.0,12,45,2.14,2,0,1,67.0,6625.0,82.0
62,Chain Devil,11.0,16,85,2.15,2,0,1,113.0,11396.0,151.0
63,Chimera,6.0,14,114,0.11,3,0,1,141.0,13852.0,162.0
64,Chuul,4.0,16,93,0.1,2,0,1,119.0,11881.0,149.0
65,Clay Golem,9.0,14,133,-1.9,2,0,1,130.0,12599.0,148.0
66,Cloaker,8.0,14,78,2.15,2,0,1,98.0,9881.0,121.0
67,Cloud Giant,9.0,14,200,0.1,2,0,1,145.0,14472.0,168.0
68,Cockatrice,0.5,11,27,1.12,1,3,3,70.0,7038.0,71.0
69,Commoner,0.0,10,4,0.1,1,2,2,19.0,2154.0,19.0
70,Constrictor Snake,0.25,12,13,2.14,1,4,6,77.0,7794.0,78.0
71,Copper Dragon Wyrmling,1.0,16,22,1.12,1,4,7,130.0,12881.0,147.0
72,Couatl,4.0,19,97,5.2,1,6,10,238.0,23950.0,282.0
73,Crab,0.0,11,2,0.11,1,0,1,11.0,1009.0,11.0
74,Crocodile,0.5,12,19,0.1,1,4,7,100.0,9966.0,101.0
75,Cult Fanatic,2.0,13,22,2.14,2,4,7,151.0,15062.0,143.0
76,Cultist,0.125,12,9,1.12,1,3,4,45.0,4689.0,46.0
77,Darkmantle,0.5,11,22,1.12,1,5,6,103.0,10156.0,95.0
78,Death Dog,1.0,12,39,2.14,2,5,6,167.0,16961.0,160.0
79,Deep Gnome (Svirfneblin),0.5,15,16,2.14,1,4,6,98.0,9898.0,111.0
80,Deer,0.0,13,4,3.16,1,2,2,26.0,2488.0,28.0
81,Deva,10.0,17,136,4.18,2,2,2,191.0,19091.0,225.0
82,Dire Wolf,1.0,14,37,2.15,1,5,10,167.0,16812.0,177.0
83,Djinni,11.0,17,161,2.15,3,5,10,278.0,27891.0,291.0
84,Doppelganger,3.0,14,52,4.18,2,5,10,219.0,21823.0,221.0
85,Draft Horse,0.25,10,19,0.1,1,6,9,113.0,11222.0,101.0
86,Dragon Turtle,17.0,20,341,0.1,3,13,19,313.0,31358.0,304.0
87,Dretch,0.25,11,18,0.11,2,6,9,143.0,14638.0,127.0
88,Drider,6.0,19,123,3.16,3,6,9,277.0,27768.0,295.0
89,Drow,0.25,15,13,2.14,1,4,5,83.0,8240.0,90.0
90,Druid,2.0,11,27,1.12,1,2,3,65.0,6613.0,70.0
91,Dryad,1.0,11,22,1.12,1,2,2,43.0,4473.0,47.0
92,Duergar,1.0,16,26,0.11,1,4,5,117.0,11919.0,135.0
93,Dust Mephit,0.5,12,17,2.14,1,4,4,73.0,7228.0,72.0
94,Eagle,0.0,12,3,2.15,1,4,4,30.0,2978.0,29.0
95,Earth Elemental,5.0,17,126,-1.08,2,8,14,277.0,27745.0,282.0
96,Efreeti,11.0,17,200,1.12,2,4,4,240.0,23986.0,268.0
97,Elephant,4.0,12,76,-1.9,1,8,22,239.0,23759.0,233.0
98,Elk,0.25,10,13,0.1,1,0,8,64.0,6677.0,75.0
99,Erinyes,12.0,18,153,3.16,3,0,8,251.0,25097.0,289.0
100,Ettercap,2.0,13,44,2.15,2,0,8,170.0,16898.0,191.0
101,Ettin,4.0,12,85,-1.8,2,0,8,202.0,19831.0,214.0
102,Fire Elemental,5.0,13,102,3.17,2,6,10,243.0,24380.0,240.0
103,Fire Giant,9.0,18,162,-1.9,2,0,8,239.0,23947.0,285.0
104,Flesh Golem,5.0,9,93,-1.9,2,0,8,196.0,19233.0,203.0
105,Flying Snake,0.125,14,5,4.18,1,6,1,27.0,2592.0,22.0
106,Flying Sword,0.25,17,17,2.15,1,3,5,103.0,10153.0,131.0
107,Frog,0.0,11,1,1.13,1,3,5,11.0,1742.0,22.0
108,Frost Giant,8.0,15,138,-1.9,2,3,5,224.0,22376.0,236.0
109,Gargoyle,2.0,15,52,0.11,2,3,5,183.0,18075.0,189.0
110,Gelatinous Cube,2.0,6,84,-4.3,1,4,10,179.0,17652.0,166.0
111,Ghast,2.0,13,36,3.17,1,5,10,160.0,16112.0,159.0
112,Ghost,4.0,11,45,1.13,1,5,17,195.0,19245.0,191.0
113,Ghoul,1.0,12,22,2.15,1,0,7,91.0,9051.0,112.0
114,Giant Ape,7.0,12,157,2.14,2,0,7,219.0,21755.0,236.0
115,Giant Badger,0.25,10,13,0.1,2,0,7,89.0,8941.0,87.0
116,Giant Bat,0.25,13,22,3.16,1,4,5,98.0,9797.0,100.0
117,Giant Boar,2.0,12,42,0.1,1,5,10,163.0,16358.0,154.0
118,Giant Centipede,0.25,13,4,2.14,1,5,10,51.0,5481.0,55.0
119,Giant Constrictor Snake,2.0,12,60,2.14,1,6,13,205.0,20239.0,197.0
120,Giant Crab,0.125,15,13,2.15,1,3,4,69.0,7054.0,80.0
121,Giant Crocodile,5.0,14,85,-1.9,2,3,4,193.0,19161.0,187.0
122,Giant Eagle,1.0,13,26,3.17,2,3,4,125.0,12435.0,123.0
123,Giant Elk,2.0,15,42,3.16,1,6,22,220.0,21956.0,225.0
124,Giant Fire Beetle,0.0,13,4,0.1,1,1,2,22.0,2317.0,26.0
125,Giant Frog,0.25,11,18,1.13,1,3,4,65.0,6496.0,65.0
126,Giant Goat,0.5,11,19,0.11,1,5,8,107.0,10678.0,104.0
127,Giant Hyena,1.0,12,45,2.14,1,5,10,169.0,16869.0,167.0
128,Giant Lizard,0.25,12,19,1.12,1,4,6,95.0,9333.0,91.0
129,Giant Octopus,1.0,11,52,1.13,1,5,10,170.0,17178.0,165.0
130,Giant Owl,0.25,12,19,2.15,1,3,8,105.0,10326.0,108.0
131,Giant Poisonous Snake,0.25,14,11,4.18,1,6,6,87.0,8711.0,85.0
132,Giant Rat,0.125,12,7,2.15,1,4,4,41.0,4250.0,41.0
133,Giant Rat (Diseased),0.125,12,7,2.15,1,4,3,33.0,3619.0,36.0
134,Giant Scorpion,3.0,15,52,1.13,3,4,6,213.0,21354.0,203.0
135,Giant Sea Horse,0.5,13,16,2.15,1,3,4,66.0,6827.0,73.0
136,Giant Shark,5.0,13,126,0.11,1,3,4,172.0,16903.0,177.0
137,Giant Spider,1.0,14,26,3.16,1,5,13,164.0,16422.0,167.0
138,Giant Toad,1.0,11,39,1.13,1,4,12,159.0,16056.0,156.0
139,Giant Vulture,1.0,10,22,0.1,2,4,6,129.0,12768.0,103.0
140,Giant Wasp,0.5,12,13,2.14,1,4,11,113.0,10866.0,105.0
141,Giant Weasel,0.125,13,9,3.16,1,5,5,56.0,6250.0,56.0
142,Giant Wolf Spider,0.25,13,11,3.16,1,3,8,80.0,8441.0,91.0
143,Gibbering Mouther,2.0,9,67,-1.8,1,4,7,153.0,15362.0,146.0
144,Glabrezu,9.0,17,157,2.15,2,4,7,254.0,25305.0,268.0
145,Gladiator,5.0,16,112,2.15,3,4,7,253.0,25078.0,261.0
146,Gnoll,0.5,15,22,1.12,1,4,5,104.0,10669.0,115.0
147,Goat,0.0,10,4,0.1,1,3,3,24.0,2511.0,25.0
148,Goblin,0.25,15,7,2.14,1,4,5,55.0,5761.0,57.0
149,Gold Dragon Wyrmling,3.0,17,60,2.14,1,6,9,208.0,20707.0,222.0
150,Gorgon,5.0,19,114,0.11,1,8,16,268.0,26714.0,294.0
151,Gray Ooze,0.5,8,22,-2.6,1,3,4,62.0,6423.0,61.0
152,Green Dragon Wyrmling,2.0,17,38,1.12,1,4,7,158.0,16121.0,190.0
153,Green Hag,3.0,17,82,1.12,1,6,13,234.0,23332.0,251.0
154,Grick,2.0,14,27,2.14,1,6,13,168.0,16905.0,164.0
155,Griffon,2.0,12,59,2.15,2,6,13,230.0,22985.0,212.0
156,Grimlock,0.25,11,11,1.12,1,5,5,57.0,6072.0,52.0
157,Guard,0.125,16,11,1.12,1,3,4,62.0,6774.0,80.0
158,Guardian Naga,10.0,18,127,4.18,1,8,8,242.0,24233.0,264.0
159,Gynosphinx,11.0,17,136,2.15,2,8,8,264.0,26577.0,265.0
160,Half-Red Dragon Veteran,5.0,18,65,1.13,2,8,8,242.0,24277.0,257.0
161,Harpy,1.0,11,38,1.13,2,8,8,196.0,19232.0,151.0
162,Hawk,0.0,13,1,3.16,1,5,1,10.0,1020.0,9.0
163,Hell Hound,3.0,15,45,1.12,1,5,7,161.0,16282.0,169.0
164,Hezrou,8.0,16,136,3.17,3,5,7,262.0,26285.0,258.0
165,Hill Giant,5.0,13,105,-1.8,2,5,7,226.0,22698.0,214.0
166,Hippogriff,1.0,11,19,1.13,2,5,7,134.0,13419.0,117.0
167,Hobgoblin,0.5,18,11,1.12,1,3,5,91.0,9064.0,120.0
168,Homunculus,0.0,13,5,2.15,1,4,1,22.0,2300.0,21.0
169,Horned Devil,11.0,18,148,3.17,3,4,1,202.0,19912.0,206.0
170,Hunter Shark,2.0,12,45,1.13,1,6,13,193.0,18842.0,179.0
171,Hydra,8.0,15,172,1.12,5,8,10,293.0,29257.0,276.0
172,Hyena,0.0,11,5,1.13,1,6,13,67.0,7303.0,66.0
173,Ice Devil,14.0,18,180,2.14,3,10,11,292.0,29203.0,288.0
174,Ice Mephit,0.5,11,21,1.13,1,3,3,57.0,6091.0,57.0
175,Imp,1.0,13,10,3.17,1,5,5,60.0,6494.0,66.0
176,Invisible Stalker,6.0,14,104,4.19,2,5,5,219.0,21854.0,205.0
177,Iron Golem,16.0,20,210,-1.9,2,5,5,267.0,26653.0,287.0
178,Jackal,0.0,12,3,2.15,1,1,1,17.0,1577.0,17.0
179,Killer Whale,3.0,12,90,0.1,1,0,21,211.0,20779.0,234.0
180,Knight,3.0,18,52,0.11,2,0,21,233.0,23328.0,272.0
181,Kobold,0.125,12,5,2.15,1,4,4,35.0,3707.0,36.0
182,Kraken,23.0,18,472,0.11,3,4,4,281.0,28169.0,284.0
183,Lamia,4.0,13,97,1.13,2,4,4,204.0,19938.0,172.0
184,Lemure,0.0,7,13,-3.5,1,3,2,32.0,3276.0,30.0
185,Lich,21.0,17,135,3.16,1,12,10,260.0,26009.0,255.0
186,Lion,1.0,12,26,2.15,1,5,6,115.0,11369.0,110.0
187,Lizard,0.0,10,2,0.11,1,0,1,10.0,918.0,10.0
188,Lizardfolk,0.5,15,22,0.1,2,0,1,48.0,5164.0,55.0
189,Mage,6.0,12,40,2.14,1,5,4,114.0,11338.0,110.0
190,Magma Mephit,0.5,11,22,1.12,1,3,3,58.0,6256.0,59.0
191,Magmin,0.5,14,9,2.15,1,4,7,79.0,7684.0,81.0
192,Mammoth,6.0,13,126,-1.9,1,10,29,275.0,27355.0,260.0
193,Manticore,3.0,14,68,3.16,3,10,29,289.0,28738.0,262.0
194,Marilith,16.0,18,189,5.2,7,9,13,308.0,30815.0,288.0
195,Mastiff,0.125,12,5,2.14,1,3,4,33.0,3592.0,35.0
196,Medusa,6.0,15,127,2.15,3,3,4,229.0,22818.0,219.0
197,Merfolk,0.125,11,11,1.13,1,2,3,37.0,3937.0,41.0
198,Merrow,2.0,13,45,0.1,2,2,3,134.0,13128.0,126.0
199,Mimic,2.0,12,58,1.12,1,5,7,162.0,16273.0,154.0
200,Minotaur,3.0,14,76,0.11,1,6,13,220.0,21920.0,212.0
201,Minotaur Skeleton,2.0,12,67,0.11,1,6,13,212.0,20912.0,195.0
202,Mule,0.125,10,11,0.1,1,4,4,46.0,4834.0,43.0
203,Mummy,3.0,11,58,-1.8,1,4,4,124.0,12577.0,115.0
204,Mummy Lord,15.0,17,97,0.1,1,4,4,182.0,18254.0,205.0
205,Nalfeshnee,13.0,18,184,0.1,3,4,4,259.0,25759.0,262.0
206,Night Hag,5.0,17,112,2.15,1,7,13,248.0,24795.0,255.0
207,Nightmare,3.0,13,68,2.15,1,6,13,216.0,21290.0,204.0
208,Noble,0.125,15,9,1.12,1,3,5,60.0,6384.0,68.0
209,Ochre Jelly,2.0,8,45,-2.6,1,4,9,144.0,14209.0,132.0
210,Octopus,0.0,12,3,2.15,1,4,1,20.0,1829.0,16.0
211,Ogre,2.0,11,59,-1.8,1,6,11,186.0,18789.0,175.0
212,Ogre Zombie,2.0,8,85,-2.6,1,6,13,209.0,20735.0,190.0
213,Oni,7.0,16,110,0.11,2,6,13,265.0,26434.0,254.0
214,Orc,0.5,13,15,1.12,1,5,6,91.0,8988.0,86.0
215,Otyugh,5.0,14,114,0.11,3,5,6,244.0,24336.0,220.0
216,Owl,0.0,11,1,1.13,1,3,1,5.0,659.0,3.0
217,Owlbear,3.0,13,59,1.12,2,3,1,94.0,9603.0,74.0
218,Panther,0.25,12,13,2.15,1,4,4,55.0,6154.0,55.0
219,Pegasus,2.0,12,59,2.15,1,6,11,195.0,19331.0,183.0
220,Phase Spider,3.0,13,32,2.15,1,4,7,135.0,13202.0,139.0
221,Pit Fiend,20.0,19,300,2.14,4,14,20,316.0,31581.0,303.0
222,Planetar,16.0,19,200,5.2,2,4,7,268.0,26782.0,286.0
223,Plesiosaurus,2.0,13,68,2.15,1,6,14,217.0,21506.0,209.0
224,Poisonous Snake,0.125,13,2,3.16,1,5,1,17.0,1582.0,14.0
225,Polar Bear,2.0,12,42,0.1,2,5,1,87.0,8435.0,55.0
226,Pony,0.125,10,11,0.1,1,4,7,69.0,6966.0,61.0
227,Priest,2.0,13,27,0.1,1,2,3,76.0,7401.0,83.0
228,Pseudodragon,0.25,13,7,2.15,1,4,4,39.0,4435.0,41.0
229,Purple Worm,15.0,18,247,-2.7,2,4,4,254.0,25334.0,259.0
230,Quasit,1.0,13,7,3.17,1,4,5,47.0,5099.0,47.0
231,Quipper,0.0,13,1,3.16,1,5,1,10.0,984.0,8.0
232,Rakshasa,13.0,16,110,3.17,2,5,1,151.0,15041.0,135.0
233,Rat,0.0,10,1,0.11,1,0,1,1.0,494.0,1.0
234,Raven,0.0,12,1,2.14,1,0,1,3.0,618.0,5.0
235,Red Dragon Wyrmling,4.0,17,75,0.1,1,6,9,216.0,21647.0,230.0
236,Reef Shark,0.5,12,22,1.13,1,4,6,103.0,10215.0,98.0
237,Remorhaz,11.0,17,195,1.13,1,11,50,302.0,30124.0,296.0
238,Rhinoceros,2.0,11,45,-1.8,1,7,14,191.0,19119.0,172.0
239,Riding Horse,0.25,10,13,0.1,1,5,8,82.0,8635.0,71.0
240,Roc,11.0,15,248,0.1,2,5,8,272.0,26980.0,255.0
241,Roper,5.0,20,93,-1.8,1,5,8,232.0,23264.0,267.0
242,Rug of Smothering,2.0,12,33,2.14,1,0,0,0.0,0.0,0.0
243,Rust Monster,0.5,14,27,1.12,1,3,5,107.0,10481.0,113.0
244,Saber-Toothed Tiger,2.0,12,52,2.14,1,6,12,194.0,19107.0,179.0
245,Sahuagin,0.5,12,22,0.11,2,6,12,180.0,18055.0,139.0
246,Salamander,5.0,15,90,2.14,2,6,12,253.0,25188.0,238.0
247,Satyr,0.5,14,31,3.16,1,5,6,133.0,13354.0,129.0
248,Scorpion,0.0,11,1,0.11,1,2,1,4.0,600.0,2.0
249,Scout,0.5,13,16,2.14,2,2,1,38.0,4181.0,35.0
250,Sea Hag,2.0,14,52,1.13,1,5,10,184.0,18459.0,187.0
251,Sea Horse,0.0,11,1,1.12,1,5,10,23.0,2940.0,28.0
252,Shadow,0.5,12,16,2.14,1,4,9,107.0,10461.0,103.0
253,Shambling Mound,5.0,15,136,-1.8,2,4,9,249.0,24864.0,243.0
254,Shield Guardian,7.0,17,142,-1.8,2,4,9,258.0,25766.0,251.0
255,Shrieker,0.0,5,13,-5.1,1,4,9,73.0,7030.0,54.0
256,Silver Dragon Wyrmling,2.0,17,45,0.1,1,6,9,198.0,19431.0,206.0
257,Skeleton,0.25,13,13,2.14,1,4,5,74.0,7342.0,71.0
258,Solar,21.0,21,243,6.22,2,4,5,270.0,26801.0,284.0
259,Specter,1.0,12,22,2.14,1,4,10,130.0,12672.0,126.0
260,Spider,0.0,12,1,2.14,1,4,1,8.0,785.0,4.0
261,Spirit Naga,8.0,15,75,3.17,1,7,7,205.0,20070.0,196.0
262,Sprite,0.25,15,2,4.18,1,2,1,17.0,1552.0,18.0
263,Spy,1.0,12,27,2.15,2,2,1,51.0,5420.0,39.0
264,Steam Mephit,0.25,10,21,0.11,1,2,2,42.0,4261.0,42.0
265,Stirge,0.125,14,2,3.16,1,5,5,34.0,3405.0,32.0
266,Stone Giant,7.0,17,126,2.15,2,5,5,235.0,23514.0,235.0
267,Stone Golem,10.0,17,178,-1.9,2,5,5,249.0,24871.0,245.0
268,Storm Giant,13.0,16,230,2.14,2,5,5,256.0,25477.0,243.0
269,Succubus/Incubus,4.0,15,66,3.17,1,5,6,176.0,17593.0,181.0
270,Swarm of Bats,0.25,12,22,2.15,1,4,5,94.0,9317.0,92.0
271,Swarm of Beetles,0.5,12,22,1.13,1,3,10,120.0,12161.0,125.0
272,Swarm of Centipedes,0.5,12,22,1.13,1,3,10,124.0,12145.0,124.0
273,Swarm of Insects,0.5,12,22,1.13,1,3,10,124.0,12205.0,123.0
274,Swarm of Poisonous Snakes,2.0,14,36,4.18,1,6,7,149.0,15137.0,146.0
275,Swarm of Quippers,1.0,13,28,3.16,1,5,14,164.0,16416.0,159.0
276,Swarm of Rats,0.25,10,24,0.11,1,2,7,94.0,9276.0,99.0
277,Swarm of Ravens,0.25,12,24,2.14,1,4,7,110.0,11015.0,107.0
278,Swarm of Spiders,0.5,12,22,1.13,1,3,10,126.0,12164.0,122.0
279,Swarm of Wasps,0.5,12,22,1.13,1,3,10,123.0,12156.0,121.0
280,Tarrasque,30.0,25,676,0.11,5,19,30,323.0,32300.0,316.0
281,Thug,0.5,11,32,0.11,2,3,10,175.0,17259.0,141.0
282,Tiger,1.0,12,37,2.15,1,0,7,115.0,11358.0,136.0
283,Treant,9.0,16,138,-1.8,2,0,7,229.0,22474.0,237.0
284,Tribal Warrior,0.125,12,11,0.11,1,3,4,47.0,5146.0,47.0
285,Triceratops,5.0,13,95,-1.9,1,9,22,252.0,25225.0,236.0
286,Troll,5.0,15,84,1.13,3,9,22,284.0,28369.0,249.0
287,Tyrannosaurus Rex,8.0,13,136,0.1,2,9,22,284.0,28396.0,245.0
288,Unicorn,5.0,12,67,2.14,2,9,22,267.0,26495.0,222.0
289,Vampire,13.0,16,144,4.18,1,9,7,237.0,23631.0,231.0
290,Vampire Spawn,5.0,15,82,3.16,2,9,7,237.0,23734.0,206.0
291,Veteran,3.0,17,58,1.13,2,9,7,232.0,23177.0,211.0
292,Violet Fungus,0.25,5,18,-5.1,2,9,7,118.0,11971.0,60.0
293,Vrock,6.0,15,104,2.15,2,9,7,246.0,24605.0,212.0
294,Vulture,0.0,10,5,0.1,1,2,2,24.0,2416.0,23.0
295,Warhorse,0.5,11,19,1.12,1,6,11,133.0,12933.0,114.0
296,Warhorse Skeleton,0.5,13,22,1.12,1,6,11,147.0,14699.0,136.0
297,Water Elemental,5.0,14,114,2.14,2,7,13,265.0,26425.0,230.0
298,Weasel,0.0,13,1,3.16,1,5,1,10.0,1004.0,7.0
299,Werebear,5.0,10,135,0.1,2,5,1,136.0,13549.0,90.0
300,Wereboar,4.0,10,78,0.1,1,5,10,192.0,19013.0,177.0
301,Wererat,2.0,12,33,2.15,1,4,5,112.0,11199.0,110.0
302,Weretiger,4.0,12,120,2.15,1,5,6,198.0,19497.0,190.0
303,Werewolf,3.0,11,58,1.13,1,4,5,139.0,13696.0,134.0
304,White Dragon Wyrmling,2.0,16,32,0.1,1,4,7,147.0,14655.0,156.0
305,Wight,3.0,14,45,2.14,2,4,7,195.0,19204.0,153.0
306,Will-o'-Wisp,2.0,19,22,9.28,1,4,9,168.0,16685.0,219.0
307,Winter Wolf,3.0,13,75,1.13,1,6,11,211.0,20886.0,201.0
308,Wolf,0.25,13,11,2.15,1,4,7,85.0,8261.0,78.0
309,Worg,0.5,13,26,1.13,1,5,10,143.0,14262.0,141.0
310,Wraith,5.0,13,67,3.16,1,6,21,232.0,23036.0,220.0
311,Wyvern,6.0,13,110,0.1,2,6,11,249.0,24883.0,211.0
312,Xorn,5.0,19,73,0.1,3,6,21,285.0,28335.0,284.0
313,Young Black Dragon,7.0,18,127,2.14,3,7,12,283.0,28347.0,271.0
314,Young Blue Dragon,9.0,18,152,0.1,3,9,13,291.0,29064.0,276.0
315,Young Brass Dragon,6.0,17,110,0.1,3,7,12,278.0,27788.0,249.0
316,Young Bronze Dragon,8.0,18,142,0.1,3,8,13,289.0,28815.0,271.0
317,Young Copper Dragon,7.0,17,119,1.12,3,7,12,280.0,27985.0,248.0
318,Young Gold Dragon,10.0,18,178,2.14,3,10,14,297.0,29671.0,277.0
319,Young Green Dragon,8.0,18,136,1.12,3,6,15,289.0,28707.0,271.0
320,Young Red Dragon,10.0,18,178,0.1,3,10,14,295.0,29613.0,275.0
321,Young Silver Dragon,9.0,18,168,0.1,3,10,14,294.0,29484.0,274.0
322,Young White Dragon,6.0,17,133,0.1,3,7,12,284.0,28282.0,252.0
323,Zombie,0.25,8,22,-2.6,1,3,4,63.0,6442.0,57.0
